C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt.1,perlit.1,węgliki.1,martenzyt.1,ausferryt.1,austenit.1,Wolna miedź.1,kontrolka,Unnamed: 33,ferryt.2,perlit.2,węgliki.2,martenzyt.2,ausferryt.2,austenit.2,Wolna miedź.2,Unnamed: 41
3.21,2.2,0.108,0.15,0.0,0.0,2.55,1.43,15,70.0,0.0,9.7,6,12,4,0,AF,2.2e-05,0.004045,2.434114,6.114813,0.0,0.509242,0.19854,80.02297,1,0,2,4,0,0,0,100,,3.141852,2.616249,0.00138,7.204261,0.0,0.000289,0.0,103.66849
2.95,2.52,0.02,0.0,0.002,0.3,0.0,0.0,3,70.0,0.0,30.7,64,20,6,0,M,2.2e-05,94.95399,0.00138,0.00044,17.55489,5.896879,0.113272,132.29211,2,8,0,4,3,0,0,100,,62.46501,7.131047,5.681738,2.858016,16.65133,0.000289,0.136239,80.02297
4.24,2.73,0.29,0.09,0.007,1.9,15.78,1.43,15,5.7,0.0,2.0,0,100,3,0,M,2.2e-05,11.12464,5.398075,0.00044,66.59058,2.557268,0.091358,116.76927,0,13,12,0,0,0,0,100,,62.46501,13.806115,9.928463,0.00044,75.32611,0.747219,0.0,86.8601
4.07,2.57,0.02,0.17,0.0,0.0,3.21,0.0,3,2.7,0.0,9.6,0,21,100,0,AN,2.2e-05,0.004045,11.160661,0.00044,100.0,1.068804,0.0,128.68202,20,25,0,4,0,2,0,100,,5.485751,17.27669,0.00138,3.481715,0.0,0.37212,0.19074,131.94861
3.45,2.44,0.276,0.03,0.002,4.18,1.38,0.98,8,0.0,99.0,0.0,96,100,6,0,AF,62.46501,77.016848,8.784874,7.001907,0.0,19.052872,0.0,136.68813,6,18,10,79,59,94,0,100,,7.942281,20.149258,5.754003,0.00044,100.0,0.000289,0.0,123.31967
2.73,2.57,0.392,0.13,0.0,0.06,0.76,0.33,24,0.0,0.0,9.8,0,18,1,0,FP,2.2e-05,0.004045,0.00138,0.00044,20.24657,4.903565,0.069644,134.37698,0,98,0,99,97,5,0,100,,3.789536,24.353794,3.055759,0.00044,0.0,2.258716,0.20662,92.87537
3.49,2.45,0.315,0.13,0.0,0.07,0.0,1.61,17,53.1,13.6,25.2,1,6,4,0,M,4.31832,0.004045,0.00138,0.269178,0.0,0.000289,0.0,130.80135,5,11,6,4,0,0,0,100,,34.805552,0.004045,0.00138,5.263354,0.0,2.873227,0.0,100.29501
4.24,2.39,0.02,0.14,0.0,0.0,0.0,0.99,3,26.2,0.3,60.0,96,0,0,0,M,29.638252,0.004045,0.00138,60.96441,100.0,0.000289,0.0,107.80566,2,0,4,7,75,2,0,100,,2.2e-05,22.235618,23.065649,6.895428,0.0,0.000289,0.200317,80.02297
2.73,2.15,0.345,0.11,0.0,0.25,6.12,2.41,24,6.4,0.0,60.0,8,4,7,0,M,1.046967,0.004045,11.256158,95.98867,100.0,2.354991,0.211207,87.08945,1,5,8,0,57,0,0,100,,62.46501,0.004045,0.00138,2.595607,21.76893,0.000289,0.001587,81.30839
3.41,2.55,0.02,0.0,0.0,0.36,21.04,0.25,24,0.0,12.1,0.0,2,0,6,0,AN,6.182691,9.131059,0.00138,7.628389,19.01798,21.412522,0.015008,123.82219,64,0,0,61,9,0,0,100,,35.108096,0.004045,7.066274,0.00044,11.88776,0.000289,0.0,123.12855
3.37,2.18,0.272,0.11,0.0,0.0,21.04,0.3,20,1.4,10.4,60.0,6,11,0,0,M,39.396914,0.004045,0.00138,38.119438,0.0,0.000289,0.163927,134.51321,1,12,0,5,9,0,0,100,,2.2e-05,0.004045,37.218994,0.00044,76.59767,0.000289,0.02942,122.95047
3.09,2.08,0.359,0.13,0.0,2.91,1.22,0.24,10,0.0,0.0,5.7,0,0,28,0,AN,2.2e-05,0.320476,0.00138,0.00044,10.1278,98.07675,0.069874,94.67141,0,98,0,0,13,3,0,100,,2.2e-05,28.447622,0.00138,95.98867,100.0,0.000289,0.0,86.27143
3.81,2.73,0.029,0.04,0.002,0.0,1.48,2.44,10,1.6,10.1,0.0,1,0,1,0,AN,2.2e-05,0.004045,13.191915,3.739596,0.0,0.000289,0.029502,136.18064,6,15,0,56,0,0,0,100,,1.985919,16.160825,4.515053,4.48986,76.21691,2.371497,0.195616,136.13171
2.93,2.28,0.253,0.0,0.0,0.0,3.98,0.37,7,4.9,74.7,7.6,96,0,100,5,M,2.2e-05,0.004045,0.00138,4.834228,13.5445,1.940652,0.172541,91.18031,0,15,7,0,56,6,0,100,,2.2e-05,7.474519,0.00138,4.220991,0.0,0.000289,0.0,80.02297
2.85,2.73,0.043,0.14,0.0,4.14,0.0,2.44,11,0.0,0.0,8.1,1,3,7,0,AN,0.558401,2.812885,0.00138,1.216743,100.0,3.928157,0.090596,85.18081,11,18,0,5,1,0,0,100,,2.2e-05,94.95399,0.00138,5.951554,0.0,2.302637,0.140203,98.80921
2.93,2.73,0.147,0.07,0.006,0.73,0.0,0.17,5,0.0,12.4,0.0,0,18,28,0,AF,2.2e-05,9.076645,0.00138,0.00044,17.55707,0.000289,0.0,129.24401,2,15,0,0,0,0,0,100,,2.2e-05,4.906085,8.806629,4.479452,69.69297,0.831931,0.0,86.21605
2.73,2.32,0.443,0.01,0.0,0.36,0.0,0.02,6,0.0,40.8,10.2,6,11,0,0,AN,2.2e-05,88.064479,3.604453,95.98867,14.48343,2.41602,0.083355,133.69831,0,0,9,6,93,0,0,100,,2.2e-05,0.004045,53.202796,2.800234,82.9432,0.000289,0.20994,88.56077
3.11,2.46,0.289,0.06,0.0,0.0,0.44,2.44,12,0.0,14.2,1.2,5,15,7,0,M,2.2e-05,0.004045,0.00138,0.00044,0.0,0.000289,0.0,80.02297,14,7,1,2,0,0,0,100,,6.083116,94.95399,18.483051,1.033788,0.0,0.000289,0.0,120.65988
3.33,2.62,0.02,0.06,0.0,0.0,0.0,0.0,24,0.0,0.0,33.8,0,17,0,0,M,2.2e-05,0.004045,0.00138,95.98867,0.0,5.227545,0.0,103.67697,0,0,2,6,4,3,0,100,,2.2e-05,84.606316,0.00138,19.521003,0.0,0.000289,0.197574,80.02297
3.34,2.36,0.02,0.0,0.0,3.37,14.13,0.0,24,6.8,7.4,5.9,0,18,29,0,AN,2.2e-05,0.004045,0.00138,0.00044,0.0,1.867502,0.176238,108.92196,0,4,10,0,4,0,0,100,,3.176669,0.004045,6.681972,6.451904,0.0,0.000289,0.0,98.82752
3.0,2.73,0.151,0.01,0.006,0.31,1.64,0.17,7,0.0,1.3,2.7,80,19,4,0,M,2.2e-05,24.886758,0.00138,95.98867,18.92874,0.33925,0.169229,102.96949,0,98,4,0,1,0,0,100,,2.2e-05,0.004045,10.246541,0.00044,22.07102,0.000289,0.159632,120.07027
3.07,2.38,0.02,0.0,0.0,0.0,0.65,0.14,24,4.5,19.0,4.6,5,0,2,0,FP,2.2e-05,0.004045,22.283396,95.98867,71.50979,0.000289,0.0,112.83196,2,6,9,0,89,0,0,100,,3.903079,39.833369,22.740393,1.096796,0.0,0.000289,0.0,153.7299
3.79,2.57,0.362,0.0,0.002,1.79,18.15,0.08,5,57.3,25.1,7.2,0,0,2,0,M,0.643638,64.297228,0.00138,4.549589,0.0,0.000289,0.198912,80.02297,4,14,0,1,0,3,0,100,,2.94634,20.354938,0.00138,2.445235,67.8047,0.000289,0.098047,80.02297
2.73,2.72,0.02,0.09,0.005,0.31,2.43,2.44,6,2.2,4.2,9.7,4,12,1,0,AN,0.118023,0.004045,12.508811,95.98867,8.11276,0.000289,0.092949,128.54124,6,19,10,99,0,6,0,100,,5.30307,17.445709,1.986068,2.229019,4.90033,0.000289,0.170915,118.4484
2.73,2.73,0.432,0.11,0.0,0.23,0.42,0.0,22,18.8,0.0,9.2,67,100,2,0,AN,2.2e-05,9.327303,19.325941,0.00044,91.60037,0.000289,0.034384,108.29974,0,4,0,0,0,0,0,100,,27.563125,8.365171,10.947126,83.67955,68.79804,0.000289,0.205809,82.70518
3.76,2.12,0.175,0.06,0.005,0.03,0.0,0.0,8,0.0,0.0,46.8,0,0,3,0,M,2.2e-05,0.004045,56.638139,0.00044,0.0,5.434807,4.772713,99.77901,0,0,5,99,16,0,0,100,,2.2e-05,0.796973,0.00138,5.88923,0.0,0.000289,0.067676,84.78117
3.51,2.18,0.175,2.25,0.001,0.04,5.5,0.0,24,7.2,0.0,2.9,0,17,4,0,M,2.867782,0.004045,9.045974,95.98867,4.30837,3.379491,0.129727,80.02297,4,6,11,6,0,0,0,100,,5.420153,0.004045,0.00138,0.00044,10.8855,23.467302,0.0,88.04874
3.77,2.33,0.084,0.05,0.003,3.26,21.04,0.62,9,0.0,10.7,15.9,0,6,0,0,AN,2.2e-05,0.004045,0.00138,71.620237,88.10411,4.655002,0.17718,119.55875,1,10,1,99,0,0,0,100,,2.2e-05,0.004045,7.603689,5.917451,9.48347,52.039569,0.107073,94.94579
3.77,2.73,0.455,0.11,0.005,0.42,1.59,0.28,3,5.5,0.0,0.0,6,0,6,0,M,2.2e-05,16.475325,0.00138,0.00044,12.07211,2.035259,0.12456,106.38932,0,15,0,99,0,2,0,100,,30.711915,0.004045,0.00138,1.185193,3.49672,5.383165,1.085172,94.92664
2.73,2.5,0.192,0.0,0.001,0.06,0.54,2.4,16,0.0,5.1,0.0,6,0,6,0,FP,2.2e-05,0.004045,10.366847,69.497246,99.21932,8.474201,0.157299,137.07509,0,9,0,84,11,2,0,100,,3.859234,0.313523,4.961441,0.00044,0.0,3.029676,0.069096,112.86592
2.91,2.24,0.118,0.14,0.0,0.25,0.0,2.44,10,0.0,0.0,9.5,4,19,32,0,FP,59.585359,0.004045,0.00138,5.10169,85.93526,3.198849,0.0,80.02297,2,0,9,3,0,0,0,100,,8.565027,13.561865,5.723444,6.486998,0.0,0.33096,0.348363,106.0091
3.12,2.71,0.426,0.05,0.005,1.88,21.04,1.51,3,55.1,0.0,5.3,1,4,3,0,M,2.2e-05,8.881567,0.00138,0.00044,3.15623,1.101675,0.076411,94.69542,0,13,4,99,0,0,0,100,,2.2e-05,3.18026,0.00138,0.873974,0.0,0.000289,0.104288,98.91328
2.73,2.68,0.381,0.11,0.0,3.22,1.12,2.44,24,5.4,15.8,0.0,2,0,0,0,M,10.325862,0.004045,1.160949,95.98867,0.0,14.214629,0.0,125.75386,4,17,3,34,0,0,0,100,,1.678942,81.293166,0.00138,2.138953,3.85392,4.207825,0.183564,84.68177
2.92,2.63,0.182,0.0,0.005,0.19,1.28,0.69,3,4.1,10.8,0.2,4,0,100,0,AN,2.2e-05,94.95399,52.879883,2.58296,17.10925,1.392841,0.162808,136.56733,0,15,2,0,0,0,0,100,,62.46501,0.004045,57.12141,0.00044,15.18343,0.000289,0.146806,115.58399
